Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
Allegheny Center,1,1411,196,832,135,329,104,0,10,130,72,5,8,0,10,115,90,0,10,115,90
Allegheny West,2,343,96,294,70,15,17,2,4,0,10,0,10,0,10,32,36,0,10,32,36
Allentown,3,2558.0,449.773276218,1307.0,301.419972796,1018.0,417.538022221,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,12.0,23.6854385647,221.0,153.564318773,0.0,17.3205080757,221.0,153.564318773
Arlington,4,1852.0,348.188167518,1427.0,243.018517813,397.0,247.753910161,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,28.0,28.8790581564,0.0,17.3205080757,28.0,28.8790581564
Arlington Heights,5,272,126,64,79,173,116,0,10,0,10,0,10,0,10,35,58,0,10,35,58
Banksville,6,3858.0,581.107563192,3024.0,447.487429991,240.0,131.403957322,26.0,32.6343377442,462.0,356.126382062,0.0,20.0,0.0,20.0,106.0,81.0740402348,25.0,41.7612260356,81.0,71.8748913042
Bedford Dwellings,7,1349,180,56,62,1247,195,38,55,8,12,0,10,0,10,0,10,0,10,0,10
Beechview,8,8078.0,719.658252228,6478.0,646.737195466,1208.0,345.545944847,7.0,31.6227766016,141.0,143.634953963,0.0,31.6227766016,35.0,63.529520697,209.0,121.037184368,0.0,31.6227766016,209.0,121.037184368
Beltzhoover,9,1702.0,343.072878555,98.0,69.2964645563,1453.0,332.743144181,0.0,20.0,39.0,62.449979984,0.0,20.0,0.0,20.0,112.0,70.6611633077,0.0,20.0,112.0,70.6611633077
Bloomfield,10,8669.0,491.348145412,7484.0,448.29900736,650.0,210.33544637,12.0,34.9857113691,412.0,144.533733087,0.0,31.6227766016,10.0,31.7017349682,101.0,50.556898639,3.0,34.4818792991,98.0,48.7442304278
Bluff,11,6294.0,395.761291689,4384.0,335.196957027,1435.0,189.005290931,18.0,28.7923600978,177.0,64.4825557806,0.0,20.0,8.0,22.9128784748,272.0,99.3227063666,17.0,29.5972971739,255.0,97.5397354928
Bon Air,12,920,171,829,157,14,21,0,10,22,61,0,10,0,10,55,61,0,10,55,61
Brighton Heights,13,7421.0,560.572921216,5398.0,443.230188503,1728.0,383.553125395,25.0,30.3479818109,28.0,37.2021504754,0.0,26.4575131106,15.0,34.292856399,227.0,109.480591887,2.0,24.8193472919,225.0,108.807168881
Brookline,14,13160.0,943.065215136,11569.0,869.327901313,612.0,225.095535272,9.0,37.8153408025,309.0,232.819672709,0.0,38.729833462,41.0,65.2686754882,620.0,242.365426579,73.0,101.552941858,547.0,223.901764174
California-Kirkbride,15,803,136,177,67,597,152,0,10,11,19,0,10,11,16,7,11,4,9,3,6
